Timestamp,Endpoint,Allocated Memory (bytes),Total Allocated Memory (bytes),System Memory (bytes),Garbage Collections,Elapsed Time,CPU Usage (%),Memory Usage (KB)
2025-02-25T22:37:13+05:30,/item/last,19614456,39977024,59396096,9,983.1µs,100.00,16936088.00
2025-02-25T22:37:13+05:30,/item/last,19640128,40002696,59396096,9,503.6µs,100.00,16936596.00
2025-02-25T22:37:13+05:30,/item/last,19651632,40014200,59396096,9,3.8355ms,100.00,16937108.00
2025-02-25T22:37:13+05:30,/item/last,19661488,40024056,59396096,9,1.9991ms,100.00,16938336.00
2025-02-25T22:37:13+05:30,/item/last,19676640,40039208,59396096,9,2.3261ms,100.00,16938932.00
2025-02-25T22:37:13+05:30,/item/last,19685376,40047944,59396096,9,4.8331ms,0.00,16938872.00
2025-02-25T22:37:13+05:30,/item/last,19699536,40062104,59396096,9,3.342ms,100.00,16940140.00
2025-02-25T22:37:13+05:30,/item/last,19719272,40081840,59396096,9,1.1989ms,100.00,16943668.00
2025-02-25T22:37:13+05:30,/item/last,19730576,40093144,59396096,9,2.1679ms,100.00,16944460.00
2025-02-25T22:37:13+05:30,/item/last,19740240,40102808,59396096,9,5.2128ms,100.00,16944760.00
2025-02-25T22:37:13+05:30,/item/last,19753712,40116280,59396096,9,4.5645ms,100.00,16944748.00
2025-02-25T22:37:13+05:30,/item/last,19771936,40134504,59396096,9,999.2µs,100.00,16944884.00
2025-02-25T22:37:13+05:30,/item/last,19779920,40142488,59396096,9,1.0037ms,100.00,16944532.00
2025-02-25T22:37:13+05:30,/item/last,19798664,40161232,59396096,9,972.9µs,100.00,16944592.00
2025-02-25T22:37:13+05:30,/item/last,19812896,40175464,59396096,9,1.0522ms,100.00,16945340.00
2025-02-25T22:37:13+05:30,/item/last,19820208,40182776,59396096,9,4.5579ms,100.00,16945608.00
2025-02-25T22:37:13+05:30,/item/last,19834504,40197072,59396096,9,500µs,100.00,16946568.00
2025-02-25T22:37:13+05:30,/item/last,19853264,40215832,59396096,9,736.7µs,100.00,16955660.00
2025-02-25T22:37:13+05:30,/item/last,19860848,40223416,59396096,9,522µs,0.00,16955760.00
2025-02-25T22:37:13+05:30,/item/last,19886752,40249320,59396096,9,0s,100.00,16956260.00
2025-02-25T22:37:13+05:30,/item/last,19892592,40255160,59396096,9,656.2µs,100.00,16956380.00
2025-02-25T22:37:13+05:30,/item/last,19906704,40269272,59396096,9,3.1831ms,100.00,16958472.00
2025-02-25T22:37:13+05:30,/item/last,19915352,40277920,59396096,9,6.3253ms,100.00,16993104.00
2025-02-25T22:37:13+05:30,/item/last,19937512,40300080,59396096,9,1.5088ms,100.00,16995340.00
2025-02-25T22:37:13+05:30,/item/last,19946160,40308728,59396096,9,0s,100.00,16996472.00
2025-02-25T22:37:13+05:30,/item/last,19955768,40318336,59396096,9,504.3µs,100.00,16996640.00
2025-02-25T22:37:13+05:30,/item/last,19969424,40331992,59396096,9,504.3µs,100.00,16998768.00
2025-02-25T22:37:13+05:30,/item/last,19992352,40354920,59396096,9,0s,100.00,16998700.00
2025-02-25T22:37:13+05:30,/item/last,20007960,40370528,59396096,9,0s,100.00,16998528.00
2025-02-25T22:37:13+05:30,/item/last,20015272,40377840,59396096,9,6.0018ms,100.00,16999644.00
2025-02-25T22:37:13+05:30,/item/last,20021880,40384448,59396096,9,15.4543ms,100.00,17000012.00
2025-02-25T22:37:13+05:30,/item/last,20037408,40399976,59396096,9,8.6633ms,100.00,17011192.00
2025-02-25T22:37:13+05:30,/item/last,20057056,40419624,59396096,9,4.6454ms,100.00,17011264.00
2025-02-25T22:37:13+05:30,/item/last,20063752,40426320,59396096,9,1.8799ms,100.00,17011124.00
2025-02-25T22:37:13+05:30,/item/last,20084888,40447456,59396096,9,0s,100.00,17015916.00
2025-02-25T22:37:13+05:30,/item/last,20091496,40454064,59396096,9,1.9521ms,0.00,17016152.00
2025-02-25T22:37:13+05:30,/item/last,20111024,40473592,59396096,9,6.3214ms,100.00,17018756.00
2025-02-25T22:37:13+05:30,/item/last,20118608,40481176,59396096,9,0s,100.00,17018788.00
2025-02-25T22:37:13+05:30,/item/last,20133032,40495600,59396096,9,4.3383ms,100.00,17018944.00
2025-02-25T22:37:13+05:30,/item/last,20546968,40909536,59396096,9,1.0011ms,100.00,17033256.00
2025-02-25T22:37:13+05:30,/item/last,20456472,40819040,59396096,9,0s,0.00,17033324.00
2025-02-25T22:37:13+05:30,/item/last,20577904,40940472,59396096,9,2.1688ms,0.00,17038208.00
2025-02-25T22:37:13+05:30,/item/last,20569304,40931872,59396096,9,0s,0.00,17038144.00
2025-02-25T22:37:13+05:30,/item/last,20634504,40997072,59396096,9,18.9931ms,100.00,17039148.00
2025-02-25T22:37:13+05:30,/item/last,20613832,40976400,59396096,9,19.0862ms,0.00,17039288.00
2025-02-25T22:37:13+05:30,/item/last,20587440,40950008,59396096,9,7.4258ms,100.00,17035536.00
2025-02-25T22:37:13+05:30,/item/last,20603168,40965736,59396096,9,26.9544ms,0.00,17039300.00
2025-02-25T22:37:13+05:30,/item/last,20620520,40983088,59396096,9,40.6511ms,100.00,17039712.00
2025-02-25T22:37:13+05:30,/item/last,20627296,40989864,59396096,9,31.9752ms,0.00,17039880.00
2025-02-25T22:37:13+05:30,/item/last,20658960,41021528,59396096,9,0s,100.00,17039892.00
2025-02-25T22:37:13+05:30,/item/last,20610304,40972872,59396096,9,34.274ms,100.00,17039888.00
2025-02-25T22:37:13+05:30,/item/last,20595728,40958296,59396096,9,15.7555ms,0.00,17039888.00
2025-02-25T22:37:13+05:30,/item/last,20667104,41029672,59396096,9,0s,0.00,17040156.00
2025-02-25T22:37:13+05:30,/item/last,20675576,41038144,59396096,9,0s,100.00,17040080.00
2025-02-25T22:37:13+05:30,/item/last,20651376,41013944,59396096,9,50.53ms,0.00,17040676.00
2025-02-25T22:37:14+05:30,/item/last,20704696,41067264,59396096,9,25.0962ms,100.00,17042892.00
2025-02-25T22:37:14+05:30,/item/last,20762608,41125176,59396096,9,0s,100.00,17045312.00
2025-02-25T22:37:14+05:30,/item/last,20784832,41147400,59396096,9,8.7989ms,100.00,17046088.00
2025-02-25T22:37:14+05:30,/item/last,20796296,41158864,59396096,9,0s,0.00,17048644.00
2025-02-25T22:37:14+05:30,/item/last,20808480,41171048,59396096,9,2.7838ms,100.00,17049440.00
2025-02-25T22:37:14+05:30,/item/last,20850968,41213536,59396096,9,51.3048ms,100.00,17049476.00
2025-02-25T22:37:14+05:30,/item/last,20839824,41202392,59396096,9,0s,0.00,17049476.00
2025-02-25T22:37:14+05:30,/item/last,20881184,41243752,59396096,9,7.3217ms,100.00,17050088.00
2025-02-25T22:37:14+05:30,/item/last,20900848,41263416,59396096,9,19.5741ms,100.00,17050088.00
2025-02-25T22:37:14+05:30,/item/last,20924168,41286736,59396096,9,0s,0.00,17050192.00
2025-02-25T22:37:14+05:30,/item/last,20930952,41293520,59396096,9,532.9µs,0.00,17050192.00
2025-02-25T22:37:14+05:30,/item/last,20939752,41302320,59396096,9,999.2µs,0.00,17051028.00
2025-02-25T22:37:14+05:30,/item/last,21005872,41368440,59396096,9,521.5µs,76.19,17053708.00
2025-02-25T22:37:14+05:30,/item/last,21012480,41375048,59396096,9,1.0244ms,100.00,17053720.00
2025-02-25T22:37:14+05:30,/item/last,21026840,41389408,59396096,9,1.3794ms,100.00,17054276.00
2025-02-25T22:37:14+05:30,/item/last,21041696,41404264,59396096,9,1.9492ms,100.00,17055860.00
2025-02-25T22:37:14+05:30,/item/last,21048304,41410872,59396096,9,10.0173ms,0.00,17055844.00
2025-02-25T22:37:14+05:30,/item/last,21062416,41424984,59396096,9,3.8489ms,100.00,17056052.00
2025-02-25T22:37:14+05:30,/item/last,21075888,41438456,59396096,9,292.7µs,0.00,17057116.00
2025-02-25T22:37:14+05:30,/item/last,21099160,41461728,59396096,9,2.9762ms,85.71,17063396.00
2025-02-25T22:37:14+05:30,/item/last,21113680,41476248,59396096,9,503.5µs,100.00,17064072.00
2025-02-25T22:37:14+05:30,/item/last,21120992,41483560,59396096,9,16.736ms,100.00,17063964.00
2025-02-25T22:37:14+05:30,/item/last,21128272,41490840,59396096,9,2.5051ms,100.00,17064060.00
2025-02-25T22:37:14+05:30,/item/last,21148792,41511360,59396096,9,0s,100.00,17064032.00
2025-02-25T22:37:14+05:30,/item/last,21156104,41518672,59396096,9,1.8424ms,100.00,17064644.00
2025-02-25T22:37:14+05:30,/item/last,21179304,41541872,59396096,9,1.0001ms,100.00,17081204.00
2025-02-25T22:37:14+05:30,/item/last,21191712,41554280,59396096,9,504µs,100.00,17080364.00
2025-02-25T22:37:14+05:30,/item/last,21200232,41562800,59396096,9,9.3004ms,100.00,17080360.00
